repo_name,ref,stars,forks,watchers,contributors,commits,created_at,updated_at,url,created_hash,updated_hash,branch
netty,chowdhury#islam,34751,16274,1699,358,13937,2008-08-08T00:37:18+00:00,2026-01-28T00:38:48+00:00,https://github.com/netty/netty,aef2ab453a8b11984c4fe64ba27612a1308ee490,eafd77f6c03c9ee2a9caadc568bd585dedd530da,4.2
okhttp,chowdhury#grund,46852,9260,1611,269,6180,2011-05-25T05:18:01+00:00,2026-01-28T08:56:01+00:00,https://github.com/square/okhttp,6594b2a8999dce7787010652d6767cf0af1bd491,861b1f7c3bee82d9360c8b4379e420491db3189b,master
openmrs-core,chowdhury,1746,4156,152,349,12827,2006-05-02T15:02:17+00:00,2026-01-28T12:33:39+00:00,https://github.com/openmrs/openmrs-core,b57cd757597e9146f606abe8745ed08548e1e979,c14a6eb9faab504fe9e527f7df450e3cdfd6b97d,master
Paper,friesen,11871,3239,164,338,19843,2010-12-21T15:32:27+00:00,2026-01-20T19:07:33+00:00,https://github.com/PaperMC/Paper,51ec4222544a25b1764a5ae1e0a868b9eb1a6ee0,81b9122470121035de76325592a9cf84208fac55,main
pentaho-kettle,friesen,8301,3580,455,178,24879,2005-11-07T13:55:13+00:00,2026-01-28T16:31:36+00:00,https://github.com/pentaho/pentaho-kettle,d12411617d3df9341db4e1c0456a470136371efe,20134cba9be57d1d7621063f34221190b98d95cc,master
plantuml,friesen,12577,1135,146,105,2525,2010-11-15T20:35:36+00:00,2026-01-27T21:18:28+00:00,https://github.com/plantuml/plantuml,042fad13531d0da463aa752fd314509472dc39d1,82dc001470a49a3e5d62fa63bfbfe0dee4672810,master
pmd,chowdhury#grund,5300,1549,137,310,30869,2002-06-21T20:12:46+00:00,2026-01-23T16:08:26+00:00,https://github.com/pmd/pmd,f2138120f1d199906541da8948e4303c00ccf1ef,38c3567c01f9656c67d64496e1722866b1f6a8fb,main
presto,chowdhury,16635,5517,830,308,25334,2012-08-08T19:58:34+00:00,2026-01-28T06:21:04+00:00,https://github.com/prestodb/presto,d0eb103a660125a53660a7ba2c95e9b8a4d8feb6,2c7a13f8aded259500221d9643f5abb147e9d50c,master
pulsar,friesen#islam,15071,3701,396,361,13937,2016-09-07T05:11:15+00:00,2026-01-27T13:04:27+00:00,https://github.com/apache/pulsar,9f849c324969e160f9891203b2a2e4805fae5a1c,52a4d5ee84fad6af2736376a6fcdd1bc41e7c52f,master
redisson,friesen,24224,5506,869,198,11061,2013-12-22T16:56:41+00:00,2026-01-28T05:21:28+00:00,https://github.com/redisson/redisson,173000394121d1f0e8a97fd4c185d4449e2bcbad,47f6930b560b756bcd12bf74cbec7a47a2452b66,master
rocketmq,friesen#islam,22319,12008,851,336,9015,2013-05-15T05:45:27+00:00,2026-01-26T09:31:20+00:00,https://github.com/apache/rocketmq,6c27f540d1d1d198e90592632eac41b1edb475ce,9ad4a1b94719aa39fd1f1569d739f9978885dc63,develop
RxJava,chowdhury#islam,48520,7605,2177,290,6289,2012-03-18T08:07:52+00:00,2026-01-27T09:23:58+00:00,https://github.com/ReactiveX/RxJava,697fd66aae9beed107e13f49a741455f1d9d8dd9,5df6e33ef01cf4da7b37ebc1c917fe91713ceaf7,3.x
seatunnel,friesen,9080,2163,168,411,5298,2017-08-05T14:30:14+00:00,2026-01-28T11:25:25+00:00,https://github.com/apache/seatunnel,311cdb3b55d25c8213bd24c59adc60b8b2421db7,3f1fd541fe3818cd9b1052a6ebadfcfe9c039a9d,dev
shardingsphere,islam,20654,6913,968,317,47947,2016-01-18T12:49:26+00:00,2026-01-28T15:19:02+00:00,https://github.com/apache/shardingsphere,03acfb18e18681686232fc440e0c79ce0dde1f17,1aed56b3a5ce281336da008b800d031fadf3d931,master
shardingsphere-elasticjob,friesen,8216,3267,616,115,2475,2015-10-09T09:59:23+00:00,2025-10-25T15:44:35+00:00,https://github.com/apache/shardingsphere-elasticjob,f64298592b6fdc605ae0299c88ac2f8b1928926d,4d13c864b6d15063d3390578cb0ed843f52143a3,master
shenyu,friesen,8756,3030,287,376,3748,2018-07-11T09:20:57+00:00,2026-01-28T01:35:37+00:00,https://github.com/apache/shenyu,a4f255314c8eed6d4ec5a991fa851ddcdc331d69,a6b8de170008aab26879952a797b5d8a85ae18d6,master
Signal-Server,friesen,10316,2415,403,50,4706,2013-12-09T07:11:09+00:00,2026-01-23T21:37:38+00:00,https://github.com/signalapp/Signal-Server,4ad0dad3d9573d1e53d39d16753030a042cb0dfe,065e730200804c7899ac4458e3dbff82ef678c5c,main
skywalking,friesen,24695,6630,812,388,8418,2015-11-07T03:30:37+00:00,2026-01-27T03:26:08+00:00,https://github.com/apache/skywalking,78befc0eb756f166a838337f0eacc699155ff602,65137fc27fd765bb44007bad7fcbe59a185fa617,master
SmartTube,friesen,27814,1493,227,139,12906,2020-07-28T12:56:06+00:00,2026-01-28T08:59:06+00:00,https://github.com/yuliskov/SmartTube,8918a3d96bf29b87a64b4ec09ecaa23e89dcd10c,46dd608ebd99e996408b95eca47d2612d3c3bf5f,master
solr,chowdhury#grund,1559,810,52,526,38711,2001-09-11T21:44:36+00:00,2026-01-29T16:54:07+00:00,https://github.com/apache/solr,a0e7ee9d0d12370e8d2b5ae0a23b6e687e018d85,640428af236008d1d3050278c4fbb6ff15d53ad6,main
sonarqube,chowdhury,10190,2153,337,294,38904,2010-09-06T14:08:06+00:00,2026-01-27T20:07:24+00:00,https://github.com/SonarSource/sonarqube,aeadc1f9129274949daaa57738c7c4550bdfbc7b,07a4554ddab30226e86fe73fc572a0d364fe4a0c,master
spring-boot,chowdhury#grund,79791,41839,3323,358,59538,2012-10-21T17:53:52+00:00,2026-01-28T14:04:59+00:00,https://github.com/spring-projects/spring-boot,80b151e2b37a66a8fe7eb2d5bac2f7aa766d4ead,f8f1da605e936a62d1d3028e222d7e9f14f742cd,main
spring-cloud-alibaba,friesen,29023,8525,953,199,2630,2017-12-01T20:49:15+00:00,2026-01-13T10:56:33+00:00,https://github.com/alibaba/spring-cloud-alibaba,b4b0cceb666b3121f32c044e588c75256bedae8a,6c3fa9077784b548e3dd3f9b3a014d092c9af17f,2025.1.x
spring-framework,chowdhury#grund,59561,38915,3297,358,34460,2008-07-10T22:00:24+00:00,2026-01-28T17:08:06+00:00,https://github.com/spring-projects/spring-framework,8119659fb1e4ae6fabe8897c42ba7629fda07b21,16f4b23c328500353194dfeb59e7a68550564ca8,main
titan,chowdhury,5240,1003,393,30,4434,2012-02-26T20:55:58+00:00,2015-12-03T10:40:44+00:00,https://github.com/thinkaurelius/titan,39dbfe175e9d07a699987871ab301034d1190912,ee226e52415b8bf43b700afac75fa5b9767993a5,titan10
tomcat,friesen#islam,8083,5339,475,146,28047,2006-03-27T13:53:46+00:00,2026-01-26T09:38:27+00:00,https://github.com/apache/tomcat,a84fabcbc6fee8a69253ad92a304b4718e96a7c9,94a295ac6cce3ad5f20de1932486010b1ac9bc4a,main
vert.x,friesen,14636,2106,511,249,6832,2013-08-01T15:10:56+00:00,2026-01-27T16:21:09+00:00,https://github.com/eclipse-vertx/vert.x,75f5f0849a4f59dd4512d75009b0c94def7bd58c,34402003d53cce907bee14851f92526eb2b857dc,master
visualvm,friesen,3186,332,88,10,104195,2007-06-07T06:32:11+00:00,2025-09-17T07:43:01+00:00,https://github.com/oracle/visualvm,8b95fe909f5ffff3eb01dc1fd75f30dc6fcfb896,823d23b39fe79d9261d03801687b53896bb185cc,master
voldemort,chowdhury,2681,585,140,56,4263,2011-04-17T19:19:49+00:00,2023-07-24T13:49:47+00:00,https://github.com/voldemort/voldemort,c38773e0f545a1b8443464c73f54e7855c048dd2,99127eab3078eed90faa66cc671259a85cb89464,master
vraptor4,chowdhury,354,348,74,50,3761,2013-05-02T20:22:14+00:00,2018-09-27T01:52:50+00:00,https://github.com/caelum/vraptor4,e1765683a0f781a960c527ce281165648a877aaa,593ce9ad60f9d38c360881b2132417c56b8cc093,master
weka,chowdhury,0,0,0,4,10026,1999-04-20T04:26:05+00:00,2026-01-28T18:52:29+00:00,https://git.cms.waikato.ac.nz/weka/weka,732a3da6b8c700165d3d00e54a20f2d0e1007ca0,e32e2cfd91a13cfc971c4fd0f9dc9bd9809f6e83,main
